# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
4.017596689240026080e+03 1.417243374999999994e-14
4.019319538500121325e+03 1.445409999999999796e-14
4.021042387760216570e+03 1.425789249999999821e-14
4.022765237020311815e+03 1.350410249999999903e-14
4.024488086280407060e+03 1.305927499999999959e-14
4.026210935540502760e+03 1.323249124999999877e-14
4.027933784800598005e+03 1.261976750000000001e-14
4.029656634060693250e+03 1.425789249999999821e-14
4.031379483320788495e+03 1.425729249999999895e-14
4.033102332580883740e+03 1.441633874999999813e-14
4.034825181840978985e+03 1.480744749999999773e-14
4.036548031101074230e+03 1.504104624999999765e-14
4.038270880361169475e+03 1.457873124999999913e-14
4.039993729621264720e+03 1.393397499999999939e-14
4.041716578881359965e+03 1.461462750000000025e-14
4.043439428141455664e+03 1.512616749999999988e-14
4.045162277401550909e+03 1.518497624999999997e-14
4.046885126661646154e+03 1.513520750000000051e-14
4.048607975921741399e+03 1.507313124999999864e-14
4.050330825181836644e+03 1.536128000000000020e-14
4.052053674441931889e+03 1.524981374999999853e-14
4.053776523702027589e+03 1.570384624999999887e-14
4.055499372962122834e+03 1.515163999999999864e-14
4.057222222222218079e+03 1.499329125000000009e-14
4.058945071482313324e+03 1.483197625000000074e-14
4.060667920742408569e+03 1.527899624999999829e-14
4.062390770002503814e+03 1.507410499999999845e-14
4.064113619262599059e+03 1.501930624999999899e-14
4.065836468522694304e+03 1.459459749999999980e-14
4.067559317782789549e+03 1.458734249999999965e-14
4.069282167042884794e+03 1.472643874999999976e-14
4.071005016302980039e+03 1.427188250000000063e-14
4.072727865563075738e+03 1.330961374999999907e-14
4.074450714823170983e+03 1.370935749999999964e-14
4.076173564083266228e+03 1.452181000000000000e-14
4.077896413343361473e+03 1.446964499999999809e-14
4.079619262603456718e+03 1.459558499999999871e-14
4.081342111863551963e+03 1.425159875000000012e-14
4.083064961123647663e+03 1.426609374999999997e-14
4.084787810383742908e+03 1.385573249999999879e-14
4.086510659643838153e+03 1.451736249999999925e-14
4.088233508903933398e+03 1.485490249999999881e-14
4.089956358164028643e+03 1.451573375000000061e-14
4.091679207424123888e+03 1.346199249999999961e-14
4.093402056684219133e+03 1.317469624999999918e-14
4.095124905944314378e+03 1.384649499999999900e-14
4.096847755204409623e+03 1.306232874999999884e-14
4.098570604464504868e+03 1.224262124999999990e-14
4.100293453724600113e+03 1.246853749999999933e-14
4.102016302984695358e+03 1.256303999999999913e-14
4.103739152244790603e+03 1.275118499999999896e-14
4.105462001504885848e+03 1.281444875000000002e-14
4.107184850764982002e+03 1.295986749999999937e-14
4.108907700025077247e+03 1.316343374999999952e-14
4.110630549285172492e+03 1.289568124999999873e-14
4.112353398545267737e+03 1.321164999999999923e-14
4.114076247805362982e+03 1.425181999999999972e-14
4.115799097065458227e+03 1.332439749999999900e-14
4.117521946325553472e+03 1.358211124999999912e-14
4.119244795585648717e+03 1.363975249999999957e-14
4.120967644845743962e+03 1.394107874999999995e-14
4.122690494105839207e+03 1.422104499999999954e-14
4.124413343365934452e+03 1.474016374999999941e-14
4.126136192626029697e+03 1.470679999999999987e-14
4.127859041886124942e+03 1.495737999999999851e-14
4.129581891146220187e+03 1.483316250000000016e-14
4.131304740406315432e+03 1.467938624999999879e-14
4.133027589666411586e+03 1.435422875000000076e-14
4.134750438926506831e+03 1.462216500000000003e-14
4.136473288186602076e+03 1.405794874999999903e-14
4.138196137446697321e+03 1.459996249999999945e-14
4.139918986706792566e+03 1.419871124999999892e-14
4.141641835966887811e+03 1.363437499999999902e-14
4.143364685226983056e+03 1.263375874999999905e-14
4.145087534487078301e+03 1.343712624999999899e-14
4.146810383747173546e+03 1.390353874999999974e-14
4.148533233007268791e+03 1.406927124999999893e-14
4.150256082267364036e+03 1.423580249999999946e-14
4.151978931527459281e+03 1.445564624999999882e-14
4.153701780787554526e+03 1.463595999999999969e-14
4.155424630047649771e+03 1.479513499999999936e-14
4.157147479307745016e+03 1.495880874999999845e-14
4.158870328567840261e+03 1.464819625000000074e-14
4.160593177827935506e+03 1.422388499999999940e-14
4.162316027088030751e+03 1.442810624999999996e-14
4.164038876348126905e+03 1.421020874999999887e-14
